char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
隔	13	1382	N1	junior high	mound, dam (阝 left) 阜 (阝)	一 儿 冂 口 阡 鬲	isolate, alternate, distance, separate, gulf	へだ.てる, へだ.たる	カク	{隔てる:へだてる} to separate (by distance, time, etc.), to isolate, to partition, to divide, to interpose, to have between, to alienate, to estrange<br/>{隔たる:へだたる} to be distant	{隔:カク} every other, second, alternate<br/>{隔月:カクゲツ} every second month, every other month<br/>{遠隔:エンカク} distant, remote, isolated<br/>{縦隔:ジュウカク} mediastinum	{隔:かく}<br/>{隔:へだ}てる<br/>{隔:へだ}たる<br/>{隔:かく}{離:り}<br/>{隔:へだ}たり<br/>{隔:へだ}て<br/>{隔:かく}{週:しゅう}<br/>{隔靴掻痒:かっかそうよう}<br/>{隔:かく}{月:げつ}<br/>{隔:かく}{壁:へき}<br/>{隔:かく}{絶:ぜつ}<br/>{隔:かく}{年:ねん}<br/>{隔:かく}{世:せい}<br/>{隔:かく}{日:じつ}<br/>{隔:かく}{世:せい}の{感:かん}<br/>{隔:かく}{世:せい}{遺:い}{伝:でん}<br/>{隔:かく}{離:り}{分:ぶん}{布:ぷ}<br/>{隔:かく}{月:げつ}{刊:かん}<br/>{隔:かく}{膜:まく}<br/>{隔:かく}{膜:まく}{法:ほう}
浄	9	1383	N1	junior high	water 水 (氵, 氺)	亅 勹 ヨ 汁	clean, purify, cleanse, exorcise, Manchu Dynasty	きよ.める, きよ.い	ジョウ, セイ	{清める:きよめる} to purify, to cleanse, to exorcise, to purge, to ward off<br/>{清い:きよい} clear, pure, noble	{浄化槽:ジョウカソウ} water-purification tank, septic tank<br/>{浄化:ジョウカ} purification, cleanup (e.g. of politics), purge<br/>{自浄:ジジョウ} self-purification, self-cleansing<br/>{不浄:フジョウ} uncleanliness, dirtiness, impurity, filthiness, defilement, menses, feces (faeces), bathroom	{浄:じょう}{水:すい}{器:き}<br/>{浄:じょう}{土:ど}{真:しん}{宗:しゅう}<br/>{浄:じょう}{土:ど}<br/>{浄:じょう}{化:か}{槽:そう}<br/>{浄:じょう}{瑠:る}{璃:り}<br/>{浄:じょう}{土:ど}{宗:しゅう}<br/>{浄:じょう}{水:すい}<br/>{浄:じょう}{化:か}<br/>{浄:じょう}{財:ざい}<br/>{浄:じょう}{霊:れい}<br/>{浄:じょう}{衣:え}<br/>{浄:じょう}{土:ど}{教:きょう}<br/>{浄:じょう}{土:ど}{三:さん}{部:ぶ}{経:きょう}<br/>{浄:じょう}{水:すい}{場:じょう}<br/>{浄:じょう}{化:か}{装:そう}{置:ち}<br/>{浄:じょう}{域:いき}<br/>{浄:きよ}{御:み}{原:はら}{令:りょう}<br/>{浄:じょう}{火:か}
匹	4	1384	N2	junior high	hiding enclosure 匸	儿 匚	equal, head, counter for small animals, roll of cloth	ひき	ヒツ	{匹:ひき} counter for small animals, counter for rolls of cloth (two han in size), counter for horses, roll of cloth	{匹偶:ヒツグウ} pair, couple (husband and wife), friend, comrade<br/>{馬匹:バヒツ} horses	{匹:ひき}<br/>{匹:ひっ}{敵:てき}<br/>{匹:ひっ}{婦:ぷ}<br/>{匹:ひつ}{偶:ぐう}<br/>{匹:ひっ}{夫:ぷ}の{勇:ゆう}<br/>{匹:ひっ}{夫:ぷ}<br/>{匹:ひっ}{儔:ちゅう}<br/>{匹:ひっ}{夫:ぷ}{匹:ひっ}{婦:ぷ}<br/>{匹:ひっ}{夫:ぷ}も{志:こころざし}を{奪:うば}うべからず
没	7	1385	N1	junior high	water 水 (氵, 氺)	几 又 汁 殳	drown, sink, hide, fall into, disappear, die	おぼ.れる, しず.む, ない	ボツ, モツ		{没:ボツ} death, rejection (of a manuscript, etc.), lacking, without<br/>{没後:ボツゴ} after death, posthumously<br/>{戦没:センボツ} death in battle, killed in action<br/>{陥没:カンボツ} cave-in, collapse, sinking, depression (e.g. of the skull), subsidence<br/>{没薬:モツヤク} myrrh	{没:ぼつ}<br/>{没:ぼっ}{収:しゅう}<br/>{没:ぼつ}{落:らく}<br/>{没:ぼっ}{頭:とう}<br/>{没:ぼっ}する<br/>{没:ぼっ}{却:きゃく}<br/>{没:ぼっ}{交:こう}{渉:しょう}<br/>{没:ぼつ}{後:ご}<br/>{没:ぼつ}{年:ねん}<br/>{没:もっ}{食:しょく}{子:し}{酸:さん}<br/>{没:もつ}{薬:やく}<br/>{没:ぼつ}{個:こ}{性:せい}<br/>{没:ぼっ}{収:しゅう}{試:じ}{合:あい}<br/>{没:ぼっ}{取:しゅ}<br/>{没:ぼつ}{個:こ}{性:せい}{的:てき}<br/>{没:ぼつ}{地:ち}<br/>{没:ぼつ}{我:が}{的:てき}<br/>{没:ぼつ}{我:が}<br/>{没:ぼつ}{常:じょう}{識:しき}
暇	13	1386	N1	junior high	sun, day 日	又 日	spare time, rest, leisure, time, leave of absence	ひま, いとま	カ	{暇:ひま} spare time, free time, leisure, time (e.g. time it takes to do something), time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse), (being) inactive, (of one's business) slow, leaving, departing<br/>{暇つぶし:ひまつぶし} waste of time, killing time<br/>{暇暇:ひまひま} one's leisure hours<br/>{暇:ひま} spare time, free time, leisure, time (e.g. time it takes to do something), time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse), (being) inactive, (of one's business) slow, leaving, departing<br/>{暇乞い:いとまごい} leave-taking, offering one's resignation, farewell visit	{暇人:ヒマジン} person with a lot of free time on their hands, person of leisure, idler, loafer<br/>{寸暇:スンカ} moment's leisure, free minute<br/>{請暇:セイカ} vacation request, request for leave of absence	{暇:ひま}<br/>{暇:ひま}つぶし<br/>{暇:ひま}がない<br/>{暇:いとま}{乞:ご}い<br/>{暇:ひま}を{潰:つぶ}す<br/>{暇:ひま}{取:ど}る<br/>{暇:ひま}{人:じん}<br/>{暇:ひま}{暇:ひま}<br/>{暇:ひま}な{時:とき}<br/>{暇:ひま}な{商:しょう}{売:ばい}<br/>{暇:ひま}を{見:み}て<br/>{暇:ひま}にあかす<br/>{暇:ひま}が{出:で}る<br/>{暇:ひま}ネタ<br/>{暇:いとま}もなく<br/>{暇:ひま}をやる<br/>{暇:ひま}を{出:だ}す
肺	9	1387	N1	grade 6	meat 肉 (⺼)	亠 巾 月	lungs		ハイ		{肺:ハイ} lung<br/>{肺炎:ハイエン} pneumonia<br/>{珪肺:ケイハイ} silicosis<br/>{人工肺:ジンコウハイ} artificial lung	{肺:はい}<br/>{肺:はい}{炎:えん}<br/>{肺:はい}{結:けっ}{核:かく}<br/>{肺:はい}がん<br/>{肺:はい}{静:じょう}{脈:みゃく}<br/>{肺:はい}{胞:ほう}<br/>{肺:はい}{活:かつ}{量:りょう}<br/>{肺:はい}{動:どう}{脈:みゃく}<br/>{肺:はい}{動:どう}{脈:みゃく}{弁:べん}<br/>{肺:はい}{気:き}{腫:しゅ}<br/>{肺:はい}{動:どう}{脈:みゃく}{弁:べん}{狭:きょう}{窄:さく}{症:しょう}<br/>{肺:はい}{水:すい}{腫:しゅ}<br/>{肺:はい}{性:せい}{心:しん}<br/>{肺:はい}{循:じゅん}{環:かん}<br/>{肺:はい}{塞:そく}{栓:せん}{症:しょう}<br/>{肺:はい}{切:せつ}{除:じょ}<br/>{肺:はい}{壊:え}{疽:そ}<br/>{肺:はい}{実:じっ}{質:しつ}<br/>{肺:はい}{切:せつ}{除:じょ}{術:じゅつ}
孫	10	1388	N2	grade 4	child, seed 子	ノ 子 小 幺 糸	grandchild, descendants	まご	ソン	{孫:まご} grandchild<br/>{孫子:まごこ} children and grandchildren, posterity, descendants<br/>{初孫:ういまご} first grandchild<br/>{内孫:ないそん} child of one's heir	{孫子:ソンシ} Sun Tzu (Chinese military strategist, 544?-496 BCE), The Art of War (military text by Sun Tzu, 512 BC), Sun Bin Bing Fa (military text by Sun Bin)<br/>{孫子の兵法:ソンシノヘイホウ} The Art of War (military text by Sun Tzu, 512 BCE)<br/>{愛孫:アイソン} one's beloved grandchild<br/>{外孫:ガイソン} grandchild from a daughter married into another family	{孫:まご}<br/>{孫:そん}<br/>{孫:まご}{娘:むすめ}<br/>{孫:まご}{子:こ}<br/>{孫:そん}{子:し}<br/>{孫:まご}の{手:て}<br/>{孫:そん}{文:ぶん}{主:しゅ}{義:ぎ}<br/>{孫息子:まごむすこ}<br/>{孫:まご}{弟:で}{子:し}<br/>{孫:まご}{引:び}き<br/>{孫:まご}{局:きょく}<br/>{孫:まご}{会:がい}{社:しゃ}<br/>{孫:まご}{芋:いも}<br/>{孫:まご}{請:う}け<br/>{孫:そん}{子:し}の{兵:へい}{法:ほう}<br/>{孫:まご}{太:た}{郎:ろう}{虫:むし}<br/>{孫:まご}さん
貞	9	1389	N1	junior high	shell 貝	ハ 卜 目 貝	upright, chastity, constancy, righteousness	ただし.い, さだ	テイ, ジョウ	{貞はる:さだはる} to harp too long on a subject	{貞:テイ} firm adherence to one's principles, chastity (of a woman)<br/>{貞潔:テイケツ} chastity, purity<br/>{シロウト童貞:シロウトドウテイ} man who has never had sex except with sex workers<br/>{不貞:フテイ} unfaithfulness, infidelity, unchastity<br/>{貞永:ジョウエイ} Jōei era (1232.4.2-1233.4.15)<br/>{貞応:ジョウオウ} Jōō era (1222.4.13-1224.11.20)	{貞:てい}<br/>{貞応:じょうおう}<br/>{貞:てい}{操:そう}{帯:たい}<br/>{貞永:じょうえい}<br/>{貞観地震:じょうがんじしん}<br/>{貞観:じょうがん}<br/>{貞:てい}{操:そう}<br/>{貞:てい}{女:じょ}<br/>{貞:てい}{操:そう}{堅:けん}{固:ご}<br/>{貞:てい}{潔:けつ}<br/>{貞観時代:じょうがんじだい}<br/>{貞:てい}{節:せつ}<br/>{貞:てい}{操:そう}{観:かん}{念:ねん}<br/>{貞:てい}{淑:しゅく}<br/>{貞:てい}{操:そう}{蹂:じゅう}{躙:りん}<br/>{貞:てい}{婦:ふ}<br/>{貞:てい}{門:もん}<br/>{貞観殿:じょうがんでん}<br/>{貞:てい}{烈:れつ}<br/>{貞:てい}{実:じつ}
靖	13	1390	N1		blue 青 (靑)	二 亠 土 月 立 青	peaceful	やす.んじる	セイ, ジョウ		{靖国:セイコク} pacifying the nation<br/>{静寧:セイネイ} peace and quiet, tranquility, peace on earth<br/>{閑靖:カンセイ} tranquillity, quiet	{靖:やす}{国:くに}{神:じん}{社:じゃ}<br/>{靖:やす}{国:くに}<br/>{靖:せい}{国:こく}<br/>{靖州ミャオ族トン族自治県:}<br/>{靖国 YASUKUNI:}
鑑	23	1391	N1	junior high	metal, gold 金 (釒)	二 皿 臣 金 乞	specimen, take warning from, learn from	かんが.みる, かがみ	カン	{鑑みる:かんがみる} to take into account, to bear in mind, to consider, to learn from, to take warning from<br/>{鑑:かがみ} model, pattern, paragon, exemplar<br/>{手鑑:てかがみ} collection of handwriting (usu. old), model, example<br/>{武士の鑑:ぶしのかがみ} paragon of knighthood	{鑑賞:カンショウ} appreciation (of art, music, poetry, etc.)<br/>{監査:カンサ} inspection, audit, judgement, judgment<br/>{印鑑:インカン} stamp, seal<br/>{名鑑:メイカン} directory, list	{鑑:かがみ}<br/>{鑑:かん}{賞:しょう}<br/>{鑑:かん}{定:てい}<br/>{鑑:かん}{識:しき}<br/>{鑑:かん}{識:しき}{眼:がん}<br/>{鑑:かんが}みる<br/>{鑑:かん}{定:てい}{書:しょ}<br/>{鑑:かん}{別:べつ}<br/>{鑑:かん}{別:べつ}{所:しょ}<br/>{鑑:かん}{評:ぴょう}{会:かい}<br/>{鑑:かん}{定:てい}{価:か}{格:かく}<br/>{鑑:かん}{定:てい}{士:し}<br/>{鑑:かん}{識:しき}{家:か}<br/>{鑑:かん}{定:てい}{官:かん}<br/>{鑑:かん}{別:べつ}{診:しん}{断:だん}<br/>{鑑:かん}{定:てい}{家:か}<br/>{鑑:かん}{定:てい}{料:りょう}<br/>{鑑:かん}{定:てい}{人:にん}<br/>{鑑:かん}{札:さつ}
飼	13	1392	N1	grade 5	eat, food 食 (飠)	亅 个 口 艮 食	domesticate, raise, keep, feed	か.う	シ	{飼う:かう} to keep (a pet or other animal), to have, to own, to raise, to rear, to feed	{飼料:シリョウ} fodder, feed<br/>{飼育:シイク} breeding, raising, rearing	{飼:か}う<br/>{飼:し}{育:いく}<br/>{飼:か}い{主:ぬし}<br/>{飼:か}い{犬:いぬ}<br/>{飼:か}い{猫:ねこ}<br/>{飼:か}い{鳥:どり}<br/>{飼:か}い{葉:ば}{桶:おけ}<br/>{飼:し}{料:りょう}<br/>{飼:か}いならす<br/>{飼:か}い{犬:いぬ}に{手:て}をかまれる<br/>{飼:か}い{葉:ば}<br/>{飼:し}{育:いく}{瓶:びん}<br/>{飼:し}{育:いく}{員:いん}<br/>{飼:し}{育:いく}{箱:ばこ}<br/>{飼:か}い{桶:おけ}<br/>{飼:し}{育:いく}{室:しつ}<br/>{飼:し}{養:よう}<br/>{飼:か}い{殺:ごろ}し<br/>{飼:か}いならし<br/>{飼:かい}{兎:うさぎ}
陰	11	1393	N1	junior high	mound, dam (阝 left) 阜 (阝)	一 二 个 厶 阡	shade, yin, negative, sex organs, secret, shadow	かげ, かげ.る	イン	{陰:かげ} shade, shadow, other side, back, background<br/>{陰口:かげぐち} malicious gossip, backbiting, speaking ill behind someone's back<br/>{山陰:やまかげ} place in the shade of a mountain, shelter of the mountains, mountain recess<br/>{物陰:ものかげ} place hidden from view, cover, shelter, hiding place<br/>{陰る:かげる} to darken, to get dark, to be clouded, to be hidden (behind clouds)	{陰:イン} yin (i.e. the negative), unseen location (i.e. somewhere private)<br/>{女神:メガミ} goddess, female deity<br/>{山陰:ヤマカゲ} place in the shade of a mountain, shelter of the mountains, mountain recess<br/>{外陰:ガイイン} vulva, pudenda	{陰:かげ}<br/>{陰:ほと}<br/>{陰:いん}<br/>{陰:いん}{気:き}<br/>{陰:いん}{謀:ぼう}<br/>{陰:かげ}{口:ぐち}<br/>{陰:いん}{影:えい}<br/>{陰:いん}{性:せい}<br/>{陰:いん}{湿:しつ}<br/>{陰:いん}{険:けん}<br/>{陰:いん}{徳:とく}<br/>{陰:いん}{鬱:うつ}<br/>{陰:いん}{謀:ぼう}{説:せつ}<br/>{陰:かげ}{弁:べん}{慶:けい}<br/>{陰:いん}{陽:よう}<br/>{陰:かげ}り<br/>{陰:かげ}{武:む}{者:しゃ}
銘	14	1394	N1	junior high	metal, gold 金 (釒)	口 夕 金	inscription, signature (of artisan)		メイ		{銘:メイ} inscription, epitaph, (manufacturer's) engraved signature, motto, maxim, precept<br/>{銘柄:メイガラ} brand, make, description, trading name of stocks and securities<br/>{座右銘:ザユウメイ} favourite motto, pet saying<br/>{鐘銘:ショウメイ} inscription on a temple bell	{銘:めい}<br/>{銘:めい}{々:めい}<br/>{銘:めい}{柄:がら}<br/>{銘:めい}{記:き}<br/>{銘:めい}{打:う}つ<br/>{銘:めい}{文:ぶん}<br/>{銘:めい}{板:ばん}<br/>{銘:めい}{旗:き}<br/>{銘:めい}{々:めい}{盆:ぼん}<br/>{銘:めい}ずる<br/>{銘:めい}{柄:がら}{米:まい}<br/>{銘:めい}{柄:がら}{牛:ぎゅう}{肉:にく}<br/>{銘:めい}{々:めい}{膳:ぜん}<br/>{銘:めい}じる<br/>{銘:めい}{刀:とう}<br/>{銘:めい}{菓:か}<br/>{銘:めい}{茶:ちゃ}<br/>{銘:めい}{仙:せん}
鋭	15	1395	N2	junior high	metal, gold 金 (釒)	个 儿 并 口 金	pointed, sharpness, edge, weapon, sharp, violent	するど.い	エイ	{鋭い:するどい} sharp (blade), pointed, sharp (pain), stabbing, cutting (remark), stinging, pointed (question or look), screeching (noise), perceptive, keen, quick (mind), astute, shrewd, discerning, nimble, agile, quick	{鋭:エイ} sharpness, sharp weapon, blade, fine soldier<br/>{鋭意:エイイ} eagerly, earnestly, assiduously, diligently, wholeheartedly<br/>{精鋭:セイエイ} elite, best, pick, cream of the crop<br/>{気鋭:キエイ} spirited, energetic	{鋭:えい}<br/>{鋭:するど}い<br/>{鋭:えい}{敏:びん}<br/>{鋭:えい}{利:り}<br/>{鋭:えい}{意:い}<br/>{鋭:えい}{角:かく}<br/>{鋭:えい}{錐:すい}{石:せき}<br/>{鋭:えい}{角:かく}{的:てき}<br/>{鋭:えい}{形:けい}<br/>{鋭:えい}{鋒:ほう}<br/>{鋭:えい}{角:かく}{三:さん}{角:かく}{形:けい}<br/>{鋭:えい}{尖:せん}{形:けい}<br/>{鋭:えい}{頭:とう}<br/>{鋭:えい}{先:せん}{形:けい}<br/>{鋭:えい}{感:かん}<br/>{鋭:えい}{兵:へい}<br/>{鋭:えい}{気:き}<br/>{鋭:えい}を{挫:くじ}く
随	12	1396	N1	junior high	mound, dam (阝 left) 阜 (阝)	一 ノ 込 阡 月	follow, though, notwithstanding, while, during, both, all, obey, submit to, comply, at the mercy of (the waves)	まにま.に, したが.う	ズイ	{随に:まにまに} at the mercy of (e.g. wind, waves), (act) as one is told (by)<br/>{従う:したがう} to obey (an order, law, etc.), to abide by (a rule, custom, etc.), to follow, to observe, to conform to, to yield to, to follow (a person), to accompany, to go with, to go alongside (e.g. a river), to follow (e.g. a sign), to serve (as), to engage in (work)	{随員:ズイイン} member of an entourage or retinue or party, attendant<br/>{随一:ズイイチ} best, greatest, first<br/>{追随:ツイズイ} following (in the footsteps of), catching up with, coming level with<br/>{付随:フズイ} being incident to, being accompanied by, being collateral with, being attached to	{随:ずい}{筆:ひつ}<br/>{随:ずい}{分:ぶん}<br/>{随:ずい}{時:じ}<br/>{随:ずい}{一:いち}<br/>{随:ずい}{意:い}<br/>{随:ずい}{想:そう}<br/>{随:ずい}{所:しょ}<br/>{随:ずい}{員:いん}<br/>{随:ずい}{行:こう}<br/>{随:ずい}{伴:はん}<br/>{随:ずい}{意:い}{契:けい}{約:やく}<br/>{随:ずい}{伴:はん}{現:げん}{象:しょう}{説:せつ}<br/>{随:ずい}{喜:き}<br/>{随:ずい}{伴:はん}{植:しょく}{物:ぶつ}<br/>{随:ずい}{喜:き}の{涙:なみだ}<br/>{随:ずい}{伴:はん}{現:げん}{象:しょう}<br/>{随:まにま}に<br/>{随:ずい}{喜:き}{渇:かつ}{仰:ごう}
烈	10	1397	N1	junior high	fire 火 (灬)	刈 歹 杰	ardent, violent, vehement, furious, severe, extreme	はげ.しい	レツ	{激しい:はげしい} violent, furious, tempestuous, extreme, intense, fierce, strong, fervent, vehement, incessant, relentless, precipitous, steep<br/>{激しい競争:はげしいきょうそう} intense competition, hot competition	{烈日:レツジツ} blazing sun, scorching sun, hot day<br/>{烈女:レツジョ} heroine<br/>{痛烈:ツウレツ} severe, bitter, scathing<br/>{壮烈:ソウレツ} heroic, brave	{烈:れっ}{火:か}<br/>{烈:れっ}{震:しん}<br/>{烈:れっ}{風:ぷう}<br/>{烈:れつ}{日:じつ}<br/>{烈:れつ}{烈:れつ}<br/>{烈:れつ}{女:じょ}<br/>{烈:れっ}{婦:ぷ}<br/>{烈:れっ}{士:し}
尋	12	1398	N1	junior high	thumb, inch 寸	口 寸 工 ヨ	inquire, fathom, look for	たず.ねる, ひろ	ジン	{尋ねる:たずねる} to ask, to enquire, to inquire, to search, to look for, to look into, to investigate<br/>{尋:ひろ} fathom<br/>{八尋:やひろ} great length, great size	{尋:ヒロ} fathom<br/>{尋問:ジンモン} cross-examination, interrogation, questioning<br/>{討尋:トウジン} minute investigation, thorough inquiry, thorough enquiry<br/>{審尋:シンジン} hearing, interrogation	{尋:ひろ}<br/>{尋:たず}ねる<br/>{尋:じん}{問:もん}<br/>{尋:じん}{常:じょう}<br/>{尋:たず}ね{人:びと}<br/>{尋:じん}{常:じょう}{茶:さ}{飯:はん}<br/>{尋:たず}ね{者:もの}<br/>{尋:たず}ね{物:もの}<br/>{尋:じん}{問:もん}{調:ちょう}{書:しょ}<br/>{尋:じん}{常:じょう}{一:いち}{様:よう}<br/>{尋常小学校:じんじょうしょうがっこう}<br/>{尋:じん}{常:じょう}{性:せい}{白:はく}{斑:はん}<br/>{尋:たず}ぬ<br/>{尋:たず}ね{出:いだ}す<br/>{尋:たず}ね<br/>{尋:たず}ね{求:もと}める<br/>{尋:じん}{常:じょう}{性:せい}ざ{瘡:そう}<br/>{尋甸回族イ族自治県:}
渕	11	1399			water 水 (氵, 氺)	二 人 并 刈 大 汁	edge	ふち, かた.い, はなわ	エン, カク, コウ		Kun reading compounds<br/>{淵:ふち} deep pool, deep water, abyss, depths (e.g. of despair, etc.), grip (e.g. of death)	
稿	15	1400	N1	junior high	grain 禾	亠 冂 口 禾 高	draft, copy, manuscript, straw	わら, したがき	コウ		{稿:コウ} manuscript, version, draft<br/>{稿料:コウリョウ} manuscript fee, payment for a piece of writing<br/>{送稿:ソウコウ} document transmission<br/>{遺稿:イコウ} posthumous manuscripts	{稿:こう}<br/>{稿:こう}{料:りょう}<br/>{稿:こう}{本:ほん}<br/>{稿:こう}{人:じん}<br/>{稿:こう}を{改:あらた}める
枝	8	1401	N2	grade 5	tree 木	十 又 支 木	bough, branch, twig, limb, counter for branches	えだ	シ	{枝:えだ} branch, bow, bough, twig, limb<br/>{枝葉:しよう} branches and leaves, foliage, unimportant details, nonessentials, side issue, digression<br/>{若枝:わかえだ} young branch, sprig<br/>{下枝:したえだ} lower branches of a tree	{枝:シ} counter for long, thin things (i.e. swords)<br/>{枝葉:シヨウ} branches and leaves, foliage, unimportant details, nonessentials, side issue, digression<br/>{整枝:セイシ} training (branches in horticulture)<br/>{茘枝:レイシ} litchi (Nephelium litchi), lychee, lichee, litchi nut, bitter melon (Momordica charantia), bitter gourd, Thais bronni (species of muricid gastropod)	{枝:えだ}<br/>{枝:し}<br/>{枝:し}{葉:よう}{末:まっ}{節:せつ}<br/>{枝:えだ}{分:わ}かれ<br/>{枝:えだ}{毛:げ}<br/>{枝:えだ}{豆:まめ}<br/>{枝:し}{垂:だ}れ{柳:やなぎ}<br/>{枝:し}{垂:だ}れ<br/>{枝:し}{垂:だ}れる<br/>{枝:し}{垂:だ}れ{杉:すぎ}<br/>{枝:えだ}ぶり<br/>{枝:し}{垂:だ}れ{桃:もも}<br/>{枝:えだ}{変:が}わり<br/>{枝:し}{垂:だ}れ{梅:うめ}<br/>{枝:えだ}{宮:みや}<br/>{枝:えだ}{鞭:むち}<br/>{枝:えだ}{切:き}り
